City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Marquette,US,46.5333,-87.6335,22.68,49,94,9.51
1,Albany,US,42.6001,-73.9662,23.09,77,100,1.01
2,Butaritari,KI,3.0707,172.7902,80.85,65,100,13.4
3,Iquique,CL,-20.2208,-70.1431,73.26,66,9,9.04
4,Rikitea,PF,-23.1203,-134.9692,77.16,70,100,6.53
5,Tuatapere,NZ,-46.1333,167.6833,59.83,77,100,1.83
6,Aktash,RU,50.3,87.7333,-5.15,82,89,4.85
7,Menongue,AO,-14.6585,17.691,69.13,76,88,4.03
8,Tasiilaq,GL,65.6145,-37.6368,15.03,63,100,8.21
9,Rudnogorsk,RU,57.2639,103.7519,6.44,97,99,4.25
10,Jamestown,US,42.097,-79.2353,24.08,52,1,4.0
11,Pevek,RU,69.7008,170.3133,29.07,72,95,28.83
12,Cidreira,BR,-30.1811,-50.2056,79.81,76,0,12.71
13,Punta Arenas,CL,-53.15,-70.9167,50.02,49,75,11.5
14,Xuddur,SO,4.1213,43.8894,80.74,35,47,8.61
15,Atuona,PF,-9.8,-139.0333,78.64,68,23,18.68
16,Hasaki,JP,35.7333,140.8333,27.0,63,0,9.91
17,Bristol,US,41.8334,-71.1662,32.09,70,90,5.99
18,Fortuna,US,40.5982,-124.1573,52.66,92,75,3.0
19,Nanortalik,GL,60.1432,-45.2371,33.39,90,100,30.91
20,Griffith,US,41.5284,-87.4237,23.11,66,1,1.99
21,Thompson,CA,55.7435,-97.8558,-21.84,76,40,10.36
22,Prado,BR,-17.3411,-39.2208,80.19,72,43,9.75
23,Noshiro,JP,40.2039,140.0242,29.95,72,100,20.67
24,Cabo San Lucas,MX,22.8909,-109.9124,76.6,72,4,5.01
25,Kinston,US,35.2627,-77.5816,44.51,93,90,16.11
26,Sokolo,ML,14.7328,-6.1219,77.79,16,0,8.79
27,Coron,PH,11.9986,120.2043,75.88,78,96,8.52
28,Mataura,NZ,-46.1927,168.8643,59.49,72,100,1.05
29,Carnarvon,AU,-24.8667,113.6333,75.27,78,3,18.41
30,East London,ZA,-33.0153,27.9116,72.54,78,0,13.8
31,Chokurdakh,RU,70.6333,147.9167,-19.39,99,100,5.1
32,Hilo,US,19.7297,-155.09,79.61,78,93,3.0
33,Dhidhdhoo,MV,6.8833,73.1,82.22,76,98,8.99
34,Mabaruma,GY,8.2,-59.7833,82.4,69,40,11.5
35,Georgetown,MY,5.4112,100.3354,79.95,80,20,0.0
36,Glenwood Springs,US,39.5505,-107.3248,36.63,79,1,11.5
37,Carman,CA,49.4992,-98.0016,2.71,78,62,6.91
38,Vanderhoof,CA,54.0166,-124.0198,-9.8,96,100,10.11
39,Upernavik,GL,72.7868,-56.1549,-9.04,91,22,5.93
40,Sistranda,NO,63.7256,8.834,34.9,77,100,11.88
41,Kholmy,UA,51.871,32.6006,28.87,93,100,14.97
42,Faanui,PF,-16.4833,-151.75,80.31,74,100,12.33
43,Bredasdorp,ZA,-34.5322,20.0403,65.28,72,100,4.61
44,Magalia,US,39.8121,-121.5783,42.22,90,100,4.0
45,Spornoye,RU,50.8448,37.2913,35.62,100,100,12.17
46,Kavieng,PG,-2.5744,150.7967,80.31,80,100,7.27
47,Dunedin,NZ,-45.8742,170.5036,61.34,67,100,1.5
48,Touros,BR,-5.1989,-35.4608,85.1,67,94,13.62
49,Souillac,MU,-20.5167,57.5167,79.18,78,75,11.5
50,Bluff,NZ,-46.6,168.3333,59.81,78,100,3.24
51,Nikolskoye,RU,59.7035,30.7861,21.4,95,100,6.69
52,Mahebourg,MU,-20.4081,57.7,79.09,78,75,11.5
53,Sur,OM,22.5667,59.5289,76.19,73,99,15.68
54,Saint-Augustin,CA,51.226,-58.6502,3.2,74,0,17.74
55,Guadalajara,MX,20.6667,-103.3333,77.83,27,0,1.52
56,Sao Filipe,CV,14.8961,-24.4956,75.31,61,5,6.55
57,Chulman,RU,56.8479,124.9104,-46.53,100,73,1.7
58,Port Alfred,ZA,-33.5906,26.891,70.5,90,74,17.07
59,Provideniya,RU,64.3833,-173.3,6.51,97,17,2.71
60,Candelaria,PH,13.9311,121.4233,74.39,87,100,7.49
61,Severo-Kurilsk,RU,50.6789,156.125,28.18,76,100,23.91
62,Gigante,CO,2.3868,-75.5453,85.08,59,80,4.72
63,Kapaa,US,22.0752,-159.319,71.58,100,90,6.91
64,Xinzhi,CN,36.4989,111.7047,35.64,33,6,2.55
65,Budhlada,IN,29.9333,75.5667,56.08,41,100,3.44
66,Itarema,BR,-2.9248,-39.9167,84.29,67,45,16.93
67,Ushuaia,AR,-54.8,-68.3,51.42,43,75,29.93
68,Honningsvag,NO,70.9821,25.9704,22.42,70,100,30.27
69,Rio Gallegos,AR,-51.6226,-69.2181,51.85,66,90,6.91
70,Young,UY,-32.6833,-57.6333,100.94,21,100,6.13
71,Vaini,TO,-21.2,-175.2,78.96,94,90,20.71
72,Muros,ES,42.7762,-9.0603,59.85,91,98,23.47
73,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,66,75,12.66
74,Junin,AR,-34.5838,-60.9433,97.45,27,35,3.91
75,Puerto Ayora,EC,-0.7393,-90.3518,80.56,75,100,9.8
76,Hermanus,ZA,-34.4187,19.2345,65.89,73,100,8.01
77,Port Elizabeth,ZA,-33.918,25.5701,71.1,83,75,6.91
78,Madang,PG,-5.2246,145.7966,75.47,89,98,6.96
79,Mar Del Plata,AR,-38.0023,-57.5575,78.82,69,0,5.99
80,Khani,GE,41.9563,42.9566,29.77,84,41,6.51
81,Dzilam Gonzalez,MX,21.2833,-88.9333,73.09,70,100,11.3
82,Saldanha,ZA,-33.0117,17.9442,66.25,78,100,22.3
83,Santa Fe,AR,-31.6333,-60.7,102.74,30,97,1.01
84,Ketchikan,US,55.3422,-131.6461,30.18,84,100,7.61
85,New Norfolk,AU,-42.7826,147.0587,56.7,74,100,1.3
86,Goderich,CA,43.7501,-81.7165,23.92,79,100,12.66
87,Emba,KZ,48.8264,58.1442,7.18,98,95,8.75
88,Kaitangata,NZ,-46.2817,169.8464,59.88,72,100,2.57
89,Prainha,BR,-1.8,-53.48,82.69,78,84,2.3
90,Padang,ID,-0.9492,100.3543,76.35,89,30,4.14
91,Oranjemund,NA,-28.55,16.4333,62.62,87,92,10.78
92,Ponta Do Sol,PT,32.6667,-17.1,70.0,23,6,0.74
93,Busselton,AU,-33.65,115.3333,58.89,85,12,13.44
94,Chuy,UY,-33.6971,-53.4616,89.87,45,0,15.99
95,Victoria,HK,22.2855,114.1577,65.95,79,6,5.01
96,Avarua,CK,-21.2078,-159.775,80.65,74,40,16.11
97,Udachnyy,RU,66.4167,112.4,-46.55,80,67,1.57
98,Mount Gambier,AU,-37.8333,140.7667,57.11,62,90,11.5
99,Saint Anthony,US,45.0205,-93.218,27.12,71,100,1.01
100,Sidi Ali,DZ,36.0998,0.4206,56.12,55,5,0.81
101,Arbuzynka,UA,47.9097,31.3196,41.81,88,100,17.56
102,Kodiak,US,57.79,-152.4072,16.84,73,100,23.06
103,Vidim,RU,56.4088,103.1106,11.95,96,99,6.26
104,Cherskiy,RU,68.75,161.3,23.58,83,100,11.43
105,Berdigestyakh,RU,62.0989,126.6992,-43.47,100,89,1.95
106,Lasa,IT,46.6166,10.7002,36.34,74,81,2.86
107,Coihaique,CL,-45.5752,-72.0662,54.21,71,90,4.61
