City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,42.097,-79.2353,26.1,69,90,7.0
1,Buchanan,LR,5.8808,-10.0467,79.2,84,97,7.18
2,Saint-Philippe,RE,-21.3585,55.7679,74.79,75,38,6.6
3,Tasiilaq,GL,65.6145,-37.6368,6.96,61,99,8.37
4,Naze,JP,28.3667,129.4833,59.92,69,100,10.67
5,Port Alfred,ZA,-33.5906,26.891,63.59,79,58,3.27
6,Saint Andrews,US,34.0454,-81.1293,61.32,83,90,1.01
7,Albany,US,42.6001,-73.9662,31.08,85,92,8.99
8,Busselton,AU,-33.65,115.3333,77.81,44,4,6.11
9,Gushi,CN,34.6425,109.5843,38.52,47,0,0.58
10,Puerto Ayora,EC,-0.7393,-90.3518,69.8,86,100,5.95
11,Pratapgarh,IN,24.0333,74.7833,55.44,73,100,7.67
12,Evensk,RU,61.95,159.2333,35.4,79,100,25.43
13,Cabo San Lucas,MX,22.8909,-109.9124,72.52,73,19,2.44
14,Victoria,HK,22.2855,114.1577,69.94,81,69,1.01
15,Georgetown,MY,5.4112,100.3354,82.33,73,20,1.99
16,Birjand,IR,32.8663,59.2211,52.27,66,40,9.22
17,Cidreira,BR,-30.1811,-50.2056,73.53,95,82,16.84
18,Dikson,RU,73.5069,80.5464,-40.45,94,74,7.54
19,Knysna,ZA,-34.0363,23.0471,57.58,83,85,2.01
20,Saint-Augustin,CA,51.226,-58.6502,13.32,91,100,20.0
21,Saskylakh,RU,71.9167,114.0833,-51.32,100,61,3.29
22,Airai,TL,-8.9266,125.4092,72.95,69,76,1.95
23,Ponta Do Sol,PT,32.6667,-17.1,70.12,17,30,3.71
24,Zhanakorgan,KZ,43.9098,67.2495,40.68,95,100,14.43
25,Tazovskiy,RU,67.4667,78.7,-25.64,98,75,9.13
26,Argelia,CO,2.2556,-77.2488,66.72,99,100,1.54
27,Hithadhoo,MV,-0.6,73.0833,81.75,75,37,5.44
28,Thompson,CA,55.7435,-97.8558,-20.04,76,40,2.3
29,Vaini,TO,-21.2,-175.2,82.56,83,75,17.27
30,Geraldton,AU,-28.7667,114.6,79.21,65,40,16.11
31,Klaksvik,FO,62.2266,-6.589,31.12,66,100,36.95
32,Ushuaia,AR,-54.8,-68.3,40.66,56,75,28.77
33,Maldonado,UY,-34.6667,-54.9167,72.79,78,0,6.11
34,Talnakh,RU,69.4865,88.3972,-35.3,94,12,3.85
35,Souillac,MU,-20.5167,57.5167,73.36,88,20,6.91
36,Ferndale,US,42.4606,-83.1347,21.99,75,1,3.44
37,Puerto Del Rosario,ES,28.5004,-13.8627,60.55,63,0,5.75
38,Kingisepp,RU,59.3733,28.6134,20.37,94,100,8.75
39,Punta Arenas,CL,-53.15,-70.9167,44.71,57,75,23.02
40,Taganak,PH,6.0833,118.3,77.14,77,100,7.38
41,Mataura,NZ,-46.1927,168.8643,68.49,42,100,1.25
42,Arraial Do Cabo,BR,-22.9661,-42.0278,75.25,91,99,17.9
43,Broken Hill,AU,-31.95,141.4333,83.91,30,0,17.27
44,Touros,BR,-5.1989,-35.4608,81.5,77,17,12.55
45,Marawi,PH,7.9986,124.2928,72.64,68,100,2.55
46,Kruisfontein,ZA,-34.0033,24.7314,59.88,87,100,2.77
47,San Patricio,US,28.017,-97.5169,49.86,33,0,10.94
48,Faya,SA,18.3851,42.4509,53.71,91,64,6.91
49,Severodvinsk,RU,64.5635,39.8302,12.31,86,92,8.55
50,Rikitea,PF,-23.1203,-134.9692,77.67,69,51,7.11
51,Agadez,NE,19.75,10.25,54.3,49,100,10.36
52,Kahului,US,20.8947,-156.47,80.83,81,20,16.11
53,Magalia,US,39.8121,-121.5783,40.55,92,100,4.03
54,Lebu,CL,-37.6167,-73.65,59.09,96,42,8.25
55,Leningradskiy,RU,69.3833,178.4167,18.46,87,100,5.93
56,Komsomolskiy,UZ,40.4272,71.7189,33.22,55,100,4.61
57,Sevsk,RU,52.1491,34.4926,21.33,95,100,14.63
58,Tiksi,RU,71.6872,128.8694,-32.6,100,89,2.71
59,Sibiti,CG,-3.6819,13.3499,69.4,99,100,2.95
60,Nacala,MZ,-14.5428,40.6728,78.39,85,96,5.44
61,Kodiak,US,57.79,-152.4072,17.13,70,98,32.75
62,Khatanga,RU,71.9667,102.5,-50.98,99,77,3.4
