City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Buchanan,LR,79.2,5.8808,-10.0467,Kamaneahn Hotel Inc
8,Busselton,AU,77.81,-33.65,115.3333,Observatory Guest House
15,Georgetown,MY,82.33,5.4112,100.3354,Cititel Penang
27,Hithadhoo,MV,81.75,-0.6,73.0833,Scoop Guest House
29,Vaini,TO,82.56,-21.2,-175.2,Keleti Beach Resort
30,Geraldton,AU,79.21,-28.7667,114.6,Broadwater Mariner Resort
40,Taganak,PH,77.14,6.0833,118.3,Taganak
42,Arraial Do Cabo,BR,75.25,-22.9661,-42.0278,Pousada Porto Praia
43,Broken Hill,AU,83.91,-31.95,141.4333,Royal Exchange Hotel
44,Touros,BR,81.5,-5.1989,-35.4608,INN NEW HORIZON
50,Rikitea,PF,77.67,-23.1203,-134.9692,People ThankYou
52,Kahului,US,80.83,20.8947,-156.47,Maui Seaside Hotel
60,Nacala,MZ,78.39,-14.5428,40.6728,Nacala Plaza Business Design Hotel
64,Omboue,GA,76.44,-1.5746,9.2618,Hotel Olako
68,Borba,BR,75.11,-4.3878,-59.5939,Hotel da Amazônia
69,Hilo,US,78.8,19.7297,-155.09,Hilo Hawaiian Hotel
76,Sao Filipe,CV,76.21,14.8961,-24.4956,Hotel Xaguate
84,Carnarvon,AU,78.87,-24.8667,113.6333,Hospitality Carnarvon
91,Butaritari,KI,80.89,3.0707,172.7902,Isles Sunset Lodge
106,Uirauna,BR,77.68,-6.5183,-38.4122,Estrela azul
112,Dzilam Gonzalez,MX,76.08,21.2833,-88.9333,posadas
115,Samarai,PG,85.32,-10.6167,150.6667,Nuli Sapi
116,Lorengau,PG,83.39,-2.0226,147.2712,Lorengau Harbourside Hotel
117,Kandrian,PG,86.4,-6.2167,149.55,Kandrian Station
125,Kapaa,US,78.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
127,Kralendijk,BQ,80.58,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
139,Isangel,VU,82.51,-19.55,169.2667,Tanna Lodge
141,Luanda,AO,76.33,-8.8368,13.2343,Hotel Fórum
145,Townsville,AU,88.68,-19.25,146.8,Rydges Southbank Townsville
159,Atuona,PF,79.2,-9.8,-139.0333,Villa Enata
161,Tevaitoa,PF,75.54,-16.7833,-151.5,Hôtel Raiatea Lodge
165,Tecoanapa,MX,77.74,16.5167,-98.75,Hotel Manglares
166,Byron Bay,AU,83.05,-28.65,153.6167,Backpackers Inn
167,Santa Cruz,BO,80.06,-17.8,-63.1667,Aviador Hotel Boutique
170,Meulaboh,ID,77.79,4.1363,96.1285,Kost Pria
172,Axim,GH,79.02,4.8699,-2.2405,Axim Beach Resort And Spa
