City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Amay,BE,2021-12-31 11:39:12,50.5483,5.3097,56.21,82,0,10.36
1,Pevek,RU,2021-12-31 11:37:01,69.7008,170.3133,-23.26,100,91,2.08
2,Bluff,NZ,2021-12-31 11:39:13,-46.6,168.3333,59.81,82,85,21.68
3,Hasaki,JP,2021-12-31 11:39:14,35.7333,140.8333,34.2,40,43,25.88
4,Los Llanos De Aridane,ES,2021-12-31 11:39:14,28.6585,-17.9182,78.55,23,0,18.41
5,Mataura,NZ,2021-12-31 11:39:15,-46.1927,168.8643,59.49,63,90,6.6
6,Busselton,AU,2021-12-31 11:39:15,-33.65,115.3333,64.04,66,2,20.24
7,Dingle,PH,2021-12-31 11:39:16,10.9995,122.6711,74.68,84,100,12.73
8,Port Lincoln,AU,2021-12-31 11:39:17,-34.7333,135.8667,70.05,62,81,5.06
9,Airai,TL,2021-12-31 11:39:18,-8.9266,125.4092,61.29,91,100,1.39
10,Zhigansk,RU,2021-12-31 11:39:18,66.7697,123.3711,-35.45,97,100,10.74
11,Grajau,BR,2021-12-31 11:39:19,-5.8194,-46.1386,75.6,94,99,7.05
12,Hithadhoo,MV,2021-12-31 11:39:20,-0.6,73.0833,82.11,70,2,7.78
13,Rikitea,PF,2021-12-31 11:39:20,-23.1203,-134.9692,77.52,74,63,12.37
14,Dwarka,IN,2021-12-31 11:39:21,22.2394,68.9678,73.49,49,3,18.34
15,Opuwo,NA,2021-12-31 11:39:22,-18.0607,13.84,92.52,21,19,9.82
16,Vilyuysk,RU,2021-12-31 11:39:22,63.7553,121.6247,-31.36,99,98,5.28
17,Vila Velha,BR,2021-12-31 11:39:23,-20.3297,-40.2925,78.75,89,75,10.0
18,Villamontes,BO,2021-12-31 11:39:23,-21.25,-63.5,78.24,83,52,0.0
19,Beloha,MG,2021-12-31 11:39:24,-25.1667,45.05,88.39,45,70,14.97
20,Cururupu,BR,2021-12-31 11:39:24,-1.8283,-44.8683,79.66,88,96,6.26
21,Avarua,CK,2021-12-31 11:39:25,-21.2078,-159.775,77.05,83,40,12.66
22,Ostrovnoy,RU,2021-12-31 11:39:26,68.0531,39.5131,22.48,95,100,8.46
23,Northam,GB,2021-12-31 11:39:28,51.0333,-4.2167,59.02,93,77,17.94
24,Forest,US,2021-12-31 11:37:13,37.3638,-79.2897,55.45,95,90,3.44
25,Port Elizabeth,ZA,2021-12-31 11:36:20,-33.918,25.5701,81.1,60,40,16.11
26,Atuona,PF,2021-12-31 11:39:29,-9.8,-139.0333,78.17,68,12,19.62
27,Bambous Virieux,MU,2021-12-31 11:39:30,-20.3428,57.7575,82.65,54,40,11.5
28,Salalah,OM,2021-12-31 11:35:02,17.0151,54.0924,80.69,61,20,8.05
29,Chuy,UY,2021-12-31 11:39:31,-33.6971,-53.4616,77.76,67,75,6.4
30,Yulara,AU,2021-12-31 11:39:32,-25.2406,130.9889,82.24,26,51,6.91
31,Port Alfred,ZA,2021-12-31 11:39:32,-33.5906,26.891,71.73,70,71,21.56
32,Faanui,PF,2021-12-31 11:39:33,-16.4833,-151.75,80.13,77,67,14.94
33,Kawalu,ID,2021-12-31 11:39:33,-7.3817,108.2082,75.81,90,92,1.74
34,Kapaa,US,2021-12-31 11:39:34,22.0752,-159.319,75.18,86,90,9.22
35,Santa Vitoria Do Palmar,BR,2021-12-31 11:39:35,-33.5189,-53.3681,77.81,66,72,4.81
36,Ushuaia,AR,2021-12-31 11:39:35,-54.8,-68.3,49.66,62,40,4.61
37,Tuktoyaktuk,CA,2021-12-31 11:39:36,69.4541,-133.0374,-21.69,98,100,5.75
38,Punta Arenas,CL,2021-12-31 11:39:36,-53.15,-70.9167,50.02,76,40,12.66
39,Hobart,AU,2021-12-31 11:39:37,-42.8794,147.3294,62.46,79,0,4.61
40,Gat,IL,2021-12-31 11:39:37,31.61,34.7642,68.77,42,100,11.18
41,Baykit,RU,2021-12-31 11:39:38,61.67,96.37,-15.57,98,100,3.49
42,Amnat Charoen,TH,2021-12-31 11:39:38,15.9167,104.75,69.21,71,47,17.96
43,Mahebourg,MU,2021-12-31 11:39:39,-20.4081,57.7,82.69,54,40,11.5
44,Barentu,ER,2021-12-31 11:40:39,15.1139,37.5928,83.89,26,1,8.68
45,Sorong,ID,2021-12-31 11:40:40,-0.8833,131.25,80.91,77,100,3.06
46,Mar Del Plata,AR,2021-12-31 11:37:52,-38.0023,-57.5575,65.88,86,0,8.99
47,Vardo,NO,2021-12-31 11:40:41,70.3705,31.1107,23.2,51,97,16.22
48,Saint George,US,2021-12-31 11:40:42,37.1041,-113.5841,45.07,92,90,4.0
49,Georgetown,MY,2021-12-31 11:40:42,5.4112,100.3354,84.13,80,40,7.0
50,Harper,LR,2021-12-31 11:40:43,4.375,-7.7169,83.55,73,66,9.19
51,New Norfolk,AU,2021-12-31 11:40:43,-42.7826,147.0587,62.1,87,1,1.41
52,Saint-Pierre,RE,2021-12-31 11:40:44,-21.3393,55.4781,84.29,54,0,10.36
53,Westport,US,2021-12-31 11:40:45,41.1415,-73.3579,48.79,97,90,0.0
54,Abha,SA,2021-12-31 11:40:46,18.2164,42.5053,60.62,67,75,12.66
55,Jalu,LY,2021-12-31 11:40:47,29.0331,21.5482,64.17,46,1,20.6
56,Hermanus,ZA,2021-12-31 11:40:47,-34.4187,19.2345,81.9,55,0,9.78
57,Carnarvon,AU,2021-12-31 11:40:48,-24.8667,113.6333,77.07,78,0,24.16
58,Kavieng,PG,2021-12-31 11:40:48,-2.5744,150.7967,83.28,76,99,10.04
59,Marawi,PH,2021-12-31 11:40:49,7.9986,124.2928,68.65,96,100,2.71
60,Bafq,IR,2021-12-31 11:40:49,31.6128,55.4107,56.21,53,25,8.25
61,Victoria,HK,2021-12-31 11:40:03,22.2855,114.1577,65.25,78,7,1.01
62,Boali,CF,2021-12-31 11:40:51,4.8005,18.1275,89.47,14,94,5.3
63,Camacha,PT,2021-12-31 11:40:52,33.0833,-16.3333,72.36,68,0,17.27
64,Bacolod,PH,2021-12-31 11:40:52,10.6667,122.95,76.64,84,100,17.72
65,Fare,PF,2021-12-31 11:40:53,-16.7,-151.0167,80.28,78,80,16.13
66,Ahipara,NZ,2021-12-31 11:40:53,-35.1667,173.1667,61.5,81,13,9.51
67,Fairbanks,US,2021-12-31 11:40:54,64.8378,-147.7164,-1.86,97,27,3.58
68,Turayf,SA,2021-12-31 11:40:54,31.6725,38.6637,53.85,76,75,13.8
69,Bredasdorp,ZA,2021-12-31 11:40:55,-34.5322,20.0403,76.32,47,0,17.27
70,Upernavik,GL,2021-12-31 11:40:55,72.7868,-56.1549,-2.74,79,98,8.43
71,Dikson,RU,2021-12-31 11:40:56,73.5069,80.5464,-9.51,95,100,1.95
72,Mitu,CO,2021-12-31 11:40:57,1.1983,-70.1733,73.18,97,85,0.72
73,Kenora,CA,2021-12-31 11:40:57,49.8167,-94.4337,-12.03,76,40,5.75
74,Tuatapere,NZ,2021-12-31 11:40:58,-46.1333,167.6833,59.83,87,83,3.76
75,Cape Town,ZA,2021-12-31 11:40:41,-33.9258,18.4232,82.11,44,0,16.11
76,Shawnee,US,2021-12-31 11:40:59,39.05,-95.7669,39.99,90,1,3.0
77,Galle,LK,2021-12-31 11:40:59,6.0367,80.217,81.21,75,82,2.04
78,Khatanga,RU,2021-12-31 11:36:56,71.9667,102.5,-34.13,95,15,10.85
79,Sitka,US,2021-12-31 11:41:00,57.0531,-135.33,33.69,75,90,3.44
80,Severo-Kurilsk,RU,2021-12-31 11:38:20,50.6789,156.125,32.13,87,100,17.54
81,Jamestown,US,2021-12-31 11:41:01,42.097,-79.2353,44.29,70,90,1.01
82,Provideniya,RU,2021-12-31 11:39:01,64.3833,-173.3,-6.68,82,43,12.37
83,Guerrero Negro,MX,2021-12-31 11:41:02,27.9769,-114.0611,61.57,91,89,5.46
84,Sao Luiz Gonzaga,BR,2021-12-31 11:41:03,-28.4083,-54.9608,81.34,51,12,7.14
85,Berlevag,NO,2021-12-31 11:41:03,70.8578,29.0864,23.76,56,87,7.31
86,East London,ZA,2021-12-31 11:41:05,-33.0153,27.9116,70.74,73,40,14.97
87,Brcko,BA,2021-12-31 11:41:06,44.8728,18.8083,58.14,59,14,2.75
88,Mzimba,MW,2021-12-31 11:41:06,-11.9,33.6,84.97,36,99,12.35
89,Saint-Philippe,RE,2021-12-31 11:42:07,-21.3585,55.7679,84.22,76,59,11.21
90,Tiksi,RU,2021-12-31 11:38:26,71.6872,128.8694,-35.3,100,100,2.15
91,Beringovskiy,RU,2021-12-31 11:42:08,63.05,179.3167,-5.26,84,100,11.88
92,Moose Factory,CA,2021-12-31 11:42:08,51.2585,-80.6094,12.2,92,90,6.91
93,San Francisco,US,2021-12-31 11:40:58,37.7749,-122.4194,46.98,86,20,1.01
94,Bandarbeyla,SO,2021-12-31 11:42:10,9.4942,50.8122,80.15,68,23,15.01
